id,is_manual_report,entrada_datos
1503960366,TRUE,Manual
1503960366,TRUE,Manual
1927972279,FALSE,Automática
2873212765,TRUE,Manual
2873212765,TRUE,Manual
4319703577,TRUE,Manual
4319703577,TRUE,Manual
4558609924,TRUE,Manual
4558609924,TRUE,Manual
4558609924,TRUE,Manual
4558609924,TRUE,Manual
4558609924,TRUE,Manual
5577150313,FALSE,Automática
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
6962181067,TRUE,Manual
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
8877689391,FALSE,Automática
