minutos_muy_activos_suma,minutos_activos_suma,minutos_ligeramente_activos_suma,minutos_sedentarios_suma,id_cliente
1200,594,6818,26293,1503960366
269,180,4758,38990,1624580081
287,641,5354,34856,1644430081
4,40,3579,37405,1844505072
41,24,1196,40840,1927972279
1125,600,7981,34490,2022484408
3,8,7956,21372,2026352035
42,80,6144,37823,2320127002
243,370,4545,12369,2347167796
437,190,9548,34013,2873212765
183,82,6558,21551,3372868164
567,1838,5243,21226,3977333714
161,166,2385,38355,4020332650
3,6,412,4869,4057192912
111,382,7092,22810,4319703577
718,631,7110,25937,4388161847
205,54,6482,25727,4445114986
322,425,8834,33902,4558609924
159,807,7362,23759,4702921684
726,403,6392,20719,5553957443
2620,895,4438,22633,5577150313
44,57,8074,22296,6117666160
80,110,6596,34598,6290855005
286,385,1044,33785,6775888955
707,574,7620,20532,6962181067
807,423,7299,27439,7007744171
1320,786,4459,26364,7086361926
2640,297,4680,35588,8053475328
390,272,2221,24460,8253242879
1819,318,4839,22200,8378563200
300,688,4287,39284,8583815059
28,117,2662,30754,8792009665
2048,308,7276,34499,8877689391
